Company,Position,Salary Per Hour,Hours per Week,Coop Year,Major,Coop Cycle,Experience
Google,Software Engineer,Software Engineer,40,2024,Software Engineering,Spring/Summer,1
Amazon Robotics ,Software Development Engineer,$67.00,40,2023,Computer Science ,Spring/Summer,2
Monarch Systems,Line Coder ,$60.00,50,2023,Software Engineering ,Spring/Summer,3
SIG,Software Engineer,$55.00,45,2024,Computer Science,Spring/Summer,3
SIG,Software Engineer,$55.00,45,2023,Computer Science,Fall/Winter,3
Nintendo Platform Technology Development ,NG GPU Engineer,$53.00,40,2024,Electrical Engineering ,Spring/Summer,2
SIG,Software Engineer,$50.00,45,2023,Computer Science,Fall/Winter,2
SIG,Software Engineer,$50.00,45,2024,Computer Science ,Fall/Winter,2
Monarch systems,Data manipulation engineer,$50.00,40,2024,Software Engineering ,Spring/Summer,2
Amazon,UI/UX Designer,$45.00,40,2024,User Experience & Interaction,Spring/Summer,1
SIG,Software Engineer,$45.00,45,2023,Software Engineering,Spring/Summer,1
Resolution Life ,AI Data Scientist,$45.00,40,2024,Biomedical Engineering ,Fall/Winter,3
Apollo Global Management,Software Engineer,$44.00,40,2023,Computer Science ,Spring/Summer,3
Vanguard,Global Technology Operations,$42.00,40,2024,Computer Engineering,Spring/Summer,2
Vanguard,Applications Engineer,$42.00,37,2024,Computer Science,Fall/Winter,3
Vanguard,Application Engineer,$42.00,40,2024,Data Science,Fall/Winter,1
Vanguard,Application Engineer,$42.00,40,2023,Data science,Fall/Winter,1
Vanguard,Application Engineer,$42.00,35,2023,Computer Science,Fall/Winter,3
Vanguard,Application Engineer,$42.00,35,2024,Computer Engineering,Spring/Summer,2
Vanguard,Application Engineer,$42.00,38,2024,Software Engineering ,Spring/Summer,2
Vangaurd,Application Engineer,$42.00,38,2024,Computer Science,Fall/Winter,1
Vanguard,Application Engineer,$42.00,38,2024,Computer Science ,Fall/Winter,2
AVEVA,Software Engineer,$40.00,40,2024,Software Engineering ,Spring/Summer,3
Apollo Global Management,Software Engineer,$40.00,40,2024,Computer Science ,Spring/Summer,2
Apollo Global Management,Global Technology 2024 Co-op,$40.00,40,2023,Software Engineering ,Spring/Summer,2
SIG,Data Engineering ( EOT),$40.00,45,2024,Computer Science ,Spring/Summer,3
SAP,STAR Intern,$38.00,40,2023,Mathematics,Spring/Summer,2
AVEVA,Software Engineer,$38.00,40,2023,Computer Science ,Spring/Summer,2
Comcast,Software Engineer,$36.00,40,2024,Computer Science ,Fall/Winter,3
Monroe Energy,Project Engineer,$35.00,40,2024,Environmental Engineering ,Spring/Summer,2
Apple,Production engineer ,$35.00,40,2023,Mechanical Engineering & Mechanics ,Spring/Summer,2
Oracle,Data Scientist,$35.00,40,2023,Data Science ,Fall/Winter,2
Oracle,Cloud Software Engineer,$35.00,40,2023,Data Science ,Fall/Winter,2
SIG,APEX Production Engineer,$35.00,45,2023,Software Engineering,Spring/Summer,2
GTRI,QA Engineer,$34.00,40,2024,Computer Science ,Spring/Summer,1
JPMorgan Chase and Co,JPMorgan Chase / TCIO / Liquidity Ops / Business Intelligence Developer,$33.00,40,2023,Software Engineering ,Spring/Summer,2
Woodward McCoach,FPGA Development Engineer,$33.00,40,2024,Electrical Engineering,Spring/Summer,3
SIG,Systems Engineer,$32.00,45,2023,,Spring/Summer,1
SIG,Security Engineer - Identity Management,$32.00,45,2024,Computing and Security Technology ,Fall/Winter,2
SIG,Information Security Services Engineer,$32.00,45,2024,Computing and Security Technology ,Fall/Winter,2
Medidata Solutions,Graphic Designer,$32.00,40,2023,User Experience and Interaction Design ,Spring/Summer,1
Comcast Corporation,Full Stack Software Development,$32.00,40,2023,Software Engineering ,Spring/Summer,2
Pratt & Whitney,Engineering Co-op,$32.00,40,2023,Mecanical Engineering,Spring/Summer,3
Comcast,Comcast Labs Co-op,$32.00,40,2023,Software Engineering ,Spring/Summer,2
SIG,Security Engineer - Identity Management,$32.00,45,2025,Computing and Security Technology ,Fall/Winter,1
Merck,Analytical Programming ,$31.50,40,2023,Computer Science,Spring/Summer,3
Comcast,Web Software Engineer,$31.00,40,2024,Software Engineering ,Spring/Summer,2
Comcast,Software Engineer,$31.00,40,2023,Computer Science,Fall/Winter,2
Comcast,Global Product Organization Electrical Engineering Co-op,$31.00,40,2024,Electrical Engineering,Spring/Summer,2
Comcast,Comcast aegis/iris software developer ,$31.00,40,2024,Computer Science,Spring/Summer,3
Davison Kempner,Technology Co-op,$30.00,30,2024,Computing and Security Technology ,Fall/Winter,2
Comcast,Software Engineer,$30.00,40,2024,Software Engineering ,Spring/Summer,1
Glenmeade,Salesforce.com Co-op,$30.00,40,2023,Software Engineering,Spring/Summer,2
Security risk advisors,Red team,$30.00,40,2024,Computing and Security Technology ,Fall/Winter,2
Blackrock,Global Operations,$30.00,40,2024,Business Analytics ,Spring/Summer,2
Susquehanna International Group,FTR Strategist ,$30.00,45,2024,Electrical Engineering,Fall/Winter,2
Lockheed Martin,Electrical Systems Test Engineer,$30.00,40,2024,Computer Engineering ,Spring/Summer,3
Blackrock,Due diligence operations,$30.00,40,2023,Business Administration ,Fall/Winter,3
Security Risk Advisors,CyberSOC Co-op,$30.00,40,2024,Computing and Security Technology ,Fall/Winter,2
College Ave Student Loans,Credit Analyst,$30.00,40,2023,Data Science ,Fall/Winter,1
JPMorgan Chase & Co.,Capital Data & Rule Development,$30.00,40,2024,Business,Spring/Summer,2
Financial Research Associates,Analyst,$30.00,40,2024,Accounting/Finance,Spring/Summer,2
Merck,Automation Platform Development ,$30.00,39,2024,Biomedical Engineering,Fall/Winter,3
JP Morgan Chase Co.,Trust Professional Analyst,$30.00,40,2024,Finance ,Fall/Winter,2
Security Risk Advisors,Threat Intelligence Analyst,$29.00,40,2022,Computing and Security Technology ,Fall/Winter,3
SAP,STAR Intern,$29.00,40,2024,Software Engineering,Spring/Summer,1
SAP,STAR Intern,$29.00,40,2024,Software Engineering,Spring/Summer,1
SAP,STAR Intern,$29.00,40,2024,Computer Science,Spring/Summer,1
TherapyNotes,Software Engineer,$29.00,40,2023,Computer Science,Fall/Winter,2
EMoney,QA Performance Test Engineer,$29.00,40,2024,Computer Science ,Fall/Winter,2
Lockheed Martin,Manufacturing Engineer,$29.00,40,2023,Aerospace Engineering,Fall/Winter,3
PECO,Reliability Reporting and Data Analytics ,$29.00,40,2024,Biomedical Engineering,Fall/Winter,3
Sig,Technical Project Management ,$28.00,45,2024,Computer Science,Fall/Winter,2
AstraZeneca ,North America Commercial Procurement ,$28.00,40,2023,,Spring/Summer,3
Baltimore Gas and Electric ,substation Engineering Design ,$27.00,40,2024,Computer Engineering ,Fall/Winter,1
Raytheon,Process Engineer,$27.00,40,2023,Mechanical Engineering & Mechanics ,Spring/Summer,1
Secant Group,Medical Devices Coop,$27.00,40,2024,Chemistry,Spring/Summer,3
Sparks Therapeutics,Manufacturing Science and Technology,$27.00,40,2024,Chemical Engineering ,Fall/Winter,3
Berkley Technology Services,ITSM/Automation Engineer,$27.00,40,2023,Computer Engineer,Spring/Summer,1
Century Thereapeutics,Immunology Co-op Intern,$27.00,40,2023,Biological Sciences,Fall/Winter,3
JPMorgan Chase & Co.,Finance,$27.00,40,2024,Economics,Spring/Summer,1
Delve,Design Engineer ,$27.00,40,2023,Mechanical Engineering & Mechanics ,Spring/Summer,2
Exelon,Data Analyst,$27.00,40,2024,Computer Science,Spring/Summer,1
Exelon,Data Analyst,$27.00,40,2024,Data science,Fall/Winter,3
Berkley Technology Services,IT Service Management Engineer Co-Op,$27.00,40,2024,Computing and Security Technology ,Fall/Winter,1
AbbVie,Process Engineering Co-op,$27.00,40,2024,Chemical Engineering ,Fall/Winter,2
Lockheed Martin,Co-op Technical Senior,$26.95,40,2023,Computer Science,Fall/Winter,2
Lockheed Martin,Co-op Technical Senior,$26.95,40,2024,Computer Science,Fall/Winter,3
Cigna,Actuarial Co-Op,$26.50,40,2024,Econ and Business,Spring/Summer,2
